date,Income,Outcome,Balance,weekend,day_of_week,Monday,Tuesday,Wednesday,Thursday,Firday,Saturday,Sunday,day_of_week_sin,day_of_week_cos,holiday,preholiday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,keyrate,payday,mean_weekly,std_weekly,median_weekly,max_weekly,min_weekly,mean_monthly,std_monthly,median_monthly,max_monthly,min_monthly,first_lag,second_lag
2017-03-31,1.47469790060725,1.5141987372306585,-0.03282626208581492,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.051077847591070584,0.7577879932578935,0.0,1.3430284451958885,-1.2440184535440715,0.04436878444298867,0.3590762397163323,0.0,1.3430284451958885,-1.2440184535440715,-0.039910246099323164,0.33127144967081507
2017-04-01,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,0.051077847591070584,0.7577879932578935,0.0,1.3430284451958885,-1.2440184535440715,0.038943790773714855,0.35845493330206063,0.0,1.3430284451958885,-1.2440184535440715,-0.03282626208581492,-0.039910246099323164
2017-04-02,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,0.051077847591070584,0.7577879932578935,0.0,1.3430284451958885,-1.2440184535440715,0.03665070971601388,0.35847743967390894,0.0,1.3430284451958885,-1.2440184535440715,0.0,-0.03282626208581492
2017-04-03,1.2119833307386667,1.2702118776367681,-0.05822854689810145,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,-0.14910172270807084,0.501292392226281,-0.03282626208581492,0.33127144967081507,-1.2440184535440715,0.034709758152743825,0.35884017900219534,0.0,1.3430284451958885,-1.2440184535440715,0.0,0.0
2017-04-04,1.1542492107564735,1.3693623362781608,-0.20996424738784375,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,-0.0013796932571811646,0.1632346922756002,-0.03282626208581492,0.33127144967081507,-0.20996424738784375,0.027710949906482367,0.36157762795520737,0.0,1.3430284451958885,-1.2440184535440715,-0.05822854689810145,0.0
2017-04-05,1.0582995282253362,1.0162294827288643,0.042070045496472,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,-0.0426941795678016,0.08078394851551549,-0.03282626208581492,0.042070045496472,-0.20996424738784375,0.032071236351451156,0.36091303686789894,0.0,1.3430284451958885,-1.2440184535440715,-0.20996424738784375,-0.05822854689810145
2017-04-06,1.1500329964748484,0.8957587933893124,0.254274203085536,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,-0.000667829684250292,0.13842883216354912,0.0,0.254274203085536,-0.20996424738784375,0.03881566237650827,0.3631805431575084,0.0,1.3430284451958885,-1.2440184535440715,0.042070045496472,-0.20996424738784375
2017-04-07,1.008497744733164,0.9737377965330882,0.034759948200075774,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,0.008987343213734095,0.13816877093519217,0.0,0.254274203085536,-0.20996424738784375,0.0399743273165108,0.3631078788571375,0.0,1.3430284451958885,-1.2440184535440715,0.254274203085536,0.042070045496472
2017-04-08,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,0.008987343213734095,0.13816877093519217,0.0,0.254274203085536,-0.20996424738784375,0.030034818479792894,0.3598627066904578,0.0,1.3430284451958885,-1.2440184535440715,0.034759948200075774,0.254274203085536
2017-04-09,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9.75,0,0.008987343213734095,0.13816877093519217,0.0,0.254274203085536,-0.20996424738784375,0.026139794414336077,0.3595228550204765,0.0,1.3430284451958885,-1.2440184535440715,0.0,0.034759948200075774
